ZIP,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total,Lon,Lat
78214,2553.54,0,6218.6,15456,22793.5,47021.64,-98.47963565,29.34937998
78215,358.44,0,539.82,2540,450,3888.26,-98.48029251,29.44044558
78216,72343.88,69710.25,116253.65,120091.55,142076.7,520476.03,-98.48999483,29.53638557
78217,7812.5,0,196.83,432.5,240,8681.83,-98.42098848,29.54076517
78218,504.56,250.69,218.26,187.32,265.74,1426.57,-98.39949029,29.49355454
78219,14165,0,0,0,0,14165,-98.38459389,29.44136721
78220,30200,41670.03,0,1422.6,20091.66,93384.29,-98.40153069,29.41309074
78221,4600,0,3843.49,9936.71,1442.55,19822.75,-98.47529135,29.2809419
78222,0,0,1500,0,330,1830,-98.38334638,29.36788655
78223,35266,8095,11139.6,9295.5,7524.66,71320.76,-98.38675031,29.31098614
78224,38800.38,22322.46,3990,32300.65,30240.06,127653.55,-98.53753773,29.30831052
78225,1027.5,5141.12,5552.5,4949.1,5550,22220.22,-98.5258459,29.38796698
78226,90.93,37.34,1387.88,873.4,943.14,3332.69,-98.5688561,29.38439381
78227,53414.05,5532.79,3470.24,8615.89,10547,81579.97,-98.64023691,29.39650522
78228,21868.85,3477.9,17676.55,18600.23,20884.44,82507.97,-98.57202153,29.46074692
78229,0,0,14215.01,7309,800,22324.01,-98.57257946,29.50558214
78230,11545,29198.73,15648.35,5471.34,6755.65,68619.07,-98.55570755,29.545478
78231,0,0,0,440,320,760,-98.54505474,29.57977739
78232,800,0,0,14805.85,60887.83,76493.68,-98.47501017,29.58787732
78233,38118.98,0,100,14555,10025,62798.98,-98.36326872,29.55482607
78237,6455.7,1155,3910,6806.25,24706.48,43033.43,-98.56833486,29.42078072
78238,10.33,234.49,1587.72,690.11,2063,4585.65,-98.61924064,29.47081515
78240,3153,200,350,3715,5945,13363,-98.60810074,29.52441419
78242,2400,1400,0,1764,0,5564,-98.60749595,29.35065132
78244,4420,0,1500,2723.48,8660,17303.48,-98.35079953,29.477029
78245,15148,14522.5,0,12698,25373,67741.5,-98.73556531,29.40102186
78247,1000,0,0,920,320,2240,-98.41195249,29.58004197
78249,100,2347.5,1318.82,8651.61,63179.47,75597.4,-98.61398907,29.56752749
78250,3596.59,375,765.83,2631.82,9013.33,16382.57,-98.66662515,29.50342514
78251,11013,175,1499,5336,7132.09,25155.09,-98.67765303,29.46290419
78252,3456,0,0,360,1350,5166,-98.696819,29.34164367
78253,3860,1295.76,1348.53,2320,9770,18594.29,-98.78888754,29.46899135
78254,2400,93.75,0,1240,452.6,4186.35,-98.72802911,29.53008951
78255,0,0,250,0,0,250,-98.66406039,29.64814502
78258,100,50,500,800,9500,10950,-98.49283319,29.63573731
78259,100,750,0,0,2500,3350,-98.42031907,29.62510741
78260,0,0,0,0,5855.2,5855.2,-98.49212302,29.69737698
78261,359,0,65,72,0,496,-98.40068073,29.6919015
78263,11290,1400,0,4725,0,17415,-98.31217392,29.3507859
78264,0,0,500,1550,1400,3450,-98.50532512,29.19864912
78265,11170.27,1309.45,829.23,552.48,556.84,14418.27,-98.4199885,29.5400058
78269,0,53.65,0,0,0,53.65,-98.5897324,29.5596688
78278,0,0,3550,44990.38,40036.25,88576.63,-98.561249,29.5613827
78283,394.65,0,1600,2129.24,1663.84,5787.73,-98.5030932,29.413468
78284,543.9,313.56,359.46,56.5,256.19,1529.61,-98.4092384,29.5331871
78289,33030.77,19623.46,25105.09,37416.03,35694.19,150869.54,-98.4899949,29.419992
78293,40,2100,0,0,0,2140,-98.4899771,29.4300353
78296,0,0,0,0,4774.5,4774.5,-98.4899884,29.4299939
78297,0,99,0,24.99,0,123.99,-98.4899572,29.4299922
78299,16536.2,18609.26,15463.91,12138.79,4271.74,67019.9,-98.4899806,29.4300455
78332,4000,0,0,0,0,4000,-98.13214967,27.71651473
78363,2600,0,0,0,0,2600,-97.85512596,27.43823426
78387,800,0,0,0,0,800,-97.55255634,28.08214281
78401,418.83,0,0,0,0,418.83,-97.3994673,27.79716813
78404,1000,0,500,500,500,2500,-97.39944445,27.76791846
78405,0,0,900,1150,1500,3550,-97.43873096,27.77403793
78413,1500,0,0,0,0,1500,-97.40409071,27.68345623
78501,0,0,0,1093.61,0,1093.61,-98.23910617,26.21599631
78504,250,0,0,0,0,250,-98.23728001,26.27758721
78521,800,0,0,0,0,800,-97.31877492,25.95208954
78526,0,0,0,2515,0,2515,-97.44991268,25.99588066
78538,1200,0,0,0,0,1200,-97.97153794,26.36809533
78539,200,0,0,0,0,200,-98.18311117,26.27998276
78540,0,3507.54,0,9900,0,13407.54,-97.99164584,26.54907916
78543,500,0,0,0,0,500,-98.00507321,26.30115559
78582,1500,0,0,0,0,1500,-98.73984585,26.53914642
78586,850,0,1200,650,675,3375,-97.64573833,26.10716257
78596,0,0,0,0,2250,2250,-97.99857602,26.10672005
78606,0,0,0,350,0,350,-98.45788653,30.09207326
78610,765.75,360,450,175,612.5,2363.25,-97.84045831,30.07960666
78620,1280,0,18150,2181,2116.5,23727.5,-98.13495468,30.22208138
78624,130,90,0,0,0,220,-98.87139829,30.29209119
78640,2706,0,0,0,0,2706,-97.82354794,29.99617889
78654,858.88,0,0,0,0,858.88,-98.20981158,30.57107985
78660,679.62,0,0,0,0,679.62,-97.59556799,30.44360816
78666,140,0,0,0,9980,10120,-97.97975281,29.88254159
78703,0,0,0,1200,0,1200,-97.76553891,30.29384336
78705,140,0,0,0,0,140,-97.73897841,30.2947129
78713,0,0,0,0,399.2,399.2,-97.7399979,30.2799921
78714,625.27,1105.23,8357.02,28418.46,38275.79,76781.77,-97.7670273,30.2974404
78722,0,0,0,0,1000,1000,-97.71458172,30.29008493
78727,50,0,0,0,6000,6050,-97.71740401,30.42897875
78731,0,0,500,0,0,500,-97.76871294,30.34772887
78736,0,0,0,1000,0,1000,-97.94974448,30.24835389
78741,1500,0,0,1800,0,3300,-97.71389781,30.23006134
78744,450,0,0,0,2749.48,3199.48,-97.72889827,30.18024686
78745,0,0,0,201.25,2550.43,2751.68,-97.79824365,30.20742138
78746,50,0,0,0,0,50,-97.8113704,30.29758227
78756,0,250,0,0,0,250,-97.7401632,30.32225468
78765,100,0,100,0,1000,1200,-97.7437191,30.3040394
78840,0,0,0,0,1000,1000,-100.9236203,29.74421322
80204,0,0,0,11120,0,11120,-105.0206778,39.73475496
80217,2264.28,3040.4,140.6,0,0,5445.28,-104.899978,39.7904709
84037,986.4,0,0,0,0,986.4,-111.9144365,40.99276067
84047,0,100,0,0,0,100,-111.8918141,40.61531462
85018,500,0,0,0,0,500,-111.9931195,33.51940732
85062,9559.37,7025.25,0,12846.26,17299.58,46730.46,-111.9699914,33.4499913
85641,0,0,1015.5,0,0,1015.5,-110.6462154,32.02104803
85706,0,0,0,0,600,600,-110.9353677,32.14782337
85716,0,0,0,0,600,600,-110.9235285,32.24219242
85745,0,0,0,200,0,200,-111.0625162,32.2501123
85749,0,0,5105.14,5471.24,4790.43,15366.81,-110.726038,32.28126853
86304,0,0,0,289.8,359.88,649.68,-112.4779321,34.5483503
90008,0,0,0,0,600,600,-118.3428123,34.01036398
90025,200,0,0,400,0,600,-118.4458112,34.04553413
90065,600,0,1300,0,0,1900,-118.2281115,34.10866221
90074,2082.33,208.46,0,203.54,632.23,3126.56,-118.2598038,34.0499346
90502,0,0,0,0,200,200,-118.2929072,33.83502291
