ZCTA5CE20,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total
78209," $2,167.29 ", $366.90 ," $1,248.79 "," $3,303.50 "," $4,122.35 "," 11,208.83 "
78210," $12,468.58 "," $15,414.52 "," $12,159.83 "," $5,677.00 "," $15,158.99 "," 60,878.92 "
78211," $2,500.00 ", $-   ," $3,000.00 "," $6,429.00 "," $8,441.50 "," 20,370.50 "
78212," $20,937.39 "," $6,537.37 "," $7,725.00 "," $7,804.64 "," $6,586.60 "," 49,591.00 "
78213," $8,960.58 "," $3,142.87 "," $3,003.26 "," $4,803.83 "," $3,660.00 "," 23,570.54 "
78214," $2,553.54 ", $-   ," $6,218.60 "," $15,456.00 "," $22,793.50 "," 47,021.64 "
78215, $358.44 , $-   , $539.82 ," $2,540.00 ", $450.00 ," 3,888.26 "
78216," $72,343.88 "," $69,710.25 "," $116,253.65 "," $120,091.55 "," $142,076.70 "," 520,476.03 "
78217," $7,812.50 ", $-   , $196.83 , $432.50 , $240.00 ," 8,681.83 "
78218, $504.56 , $250.69 , $218.26 , $187.32 , $265.74 ," 1,426.57 "
78219," $14,165.00 ", $-   , $-   , $-   , $-   ," 14,165.00 "
78220," $30,200.00 "," $41,670.03 ", $-   ," $1,422.60 "," $20,091.66 "," 93,384.29 "
78221," $4,600.00 ", $-   ," $3,843.49 "," $9,936.71 "," $1,442.55 "," 19,822.75 "
78222, $-   , $-   ," $1,500.00 ", $-   , $330.00 ," 1,830.00 "
78223," $35,266.00 "," $8,095.00 "," $11,139.60 "," $9,295.50 "," $7,524.66 "," 71,320.76 "
78224," $38,800.38 "," $22,322.46 "," $3,990.00 "," $32,300.65 "," $30,240.06 "," 127,653.55 "
78225," $1,027.50 "," $5,141.12 "," $5,552.50 "," $4,949.10 "," $5,550.00 "," 22,220.22 "
78226, $90.93 , $37.34 ," $1,387.88 ", $873.40 , $943.14 ," 3,332.69 "
78227," $53,414.05 "," $5,532.79 "," $3,470.24 "," $8,615.89 "," $10,547.00 "," 81,579.97 "
78228," $21,868.85 "," $3,477.90 "," $17,676.55 "," $18,600.23 "," $20,884.44 "," 82,507.97 "
78229, $-   , $-   ," $14,215.01 "," $7,309.00 ", $800.00 ," 22,324.01 "
78230," $11,545.00 "," $29,198.73 "," $15,648.35 "," $5,471.34 "," $6,755.65 "," 68,619.07 "
78231, $-   , $-   , $-   , $440.00 , $320.00 , 760.00 
78232, $800.00 , $-   , $-   ," $14,805.85 "," $60,887.83 "," 76,493.68 "
78233," $38,118.98 ", $-   , $100.00 ," $14,555.00 "," $10,025.00 "," 62,798.98 "
78237," $6,455.70 "," $1,155.00 "," $3,910.00 "," $6,806.25 "," $24,706.48 "," 43,033.43 "
78238, $10.33 , $234.49 ," $1,587.72 ", $690.11 ," $2,063.00 "," 4,585.65 "
78240," $3,153.00 ", $200.00 , $350.00 ," $3,715.00 "," $5,945.00 "," 13,363.00 "
78242," $2,400.00 "," $1,400.00 ", $-   ," $1,764.00 ", $-   ," 5,564.00 "
78244," $4,420.00 ", $-   ," $1,500.00 "," $2,723.48 "," $8,660.00 "," 17,303.48 "
78245," $15,148.00 "," $14,522.50 ", $-   ," $12,698.00 "," $25,373.00 "," 67,741.50 "
78247," $1,000.00 ", $-   , $-   , $920.00 , $320.00 ," 2,240.00 "
78249, $100.00 ," $2,347.50 "," $1,318.82 "," $8,651.61 "," $63,179.47 "," 75,597.40 "
78250," $3,596.59 ", $375.00 , $765.83 ," $2,631.82 "," $9,013.33 "," 16,382.57 "
